name,gb,gddr,price,link
Gigabyte GeForce RTX 3080 EAGLE OC LHR 10GB GDDR6X V2,10,GDDR6X,1321.58,https://www.pccomponentes.com/gigabyte-geforce-rtx-3080-eagle-oc-lhr-10gb-gddr6x-v2
MSI AMD Radeon RX 6600 XT GAMING X 8GB GDDR6,8,GDDR6,547.59,https://www.pccomponentes.com/msi-amd-radeon-rx-6600-xt-gaming-x-8gb-gddr6
Asus TUF Gaming GeForce GTX 1660 SUPER OC Edition 6GB GDDR6,6,GDDR6,469.55,https://www.pccomponentes.com/asus-tuf-gaming-geforce-gtx-1660-super-oc-edition-6gb-gddr6
Asus Phoenix GeForce GTX 1650 OC 4GB GDDR6,4,GDDR6,238.4,https://www.pccomponentes.com/asus-phoenix-geforce-gtx-1650-oc-4gb-gddr6
Asus TUF Gaming GeForce RTX 3070 Ti OC Edition 8GB GDDR6X,8,GDDR6X,900.49,https://www.pccomponentes.com/asus-tuf-gaming-geforce-rtx-3070-ti-oc-edition-8gb-gddr6x
MSI GeForce RTX 2060 VENTUS GP OC 6GB GDDR6,6,GDDR6,449.88,https://www.pccomponentes.com/msi-geforce-rtx-2060-ventus-gp-oc-6gb-gddr6
Zotac GAMING GeForce RTX 3050 AMP 8GB GDDR6,8,GDDR6,399.91,https://www.pccomponentes.com/zotac-gaming-geforce-rtx-3050-amp-8gb-gddr6
MSI GeForce RTX 3080 VENTUS 3X PLUS OC LHR 12GB GDDR6X,12,GDDR6X,1307.68,https://www.pccomponentes.com/msi-geforce-rtx-3080-ventus-3x-plus-oc-lhr-12gb-gddr6x
EVGA GeForce GTX 1660 SC Ultra Gaming 6GB GDDR5,6,GDDR5,380.85,https://www.pccomponentes.com/evga-geforce-gtx-1660-sc-ultra-gaming-6gb-gddr5
Zotac Gaming GeForce RTX 2060 12GB GDDR6,12,GDDR6,628.99,https://www.pccomponentes.com/zotac-gaming-geforce-rtx-2060-12gb-gddr6
